Journal,Journal Type,Year,Authors,Title,DOI/web address,Region of study,Period of study,Type of article,Sub-type of article,Data location,"Raw data in reuseable format (supp mat as excel or csv, or in reprository)",Phyto pictures present,OA,Open Journal,Other open access,Used ICPN 1.0,Full methods given,other details
Vegetation History and Archaeobotany,Archaeobotany,2017,Weisskopf,A wet and dry story: distinguishing rice and millet arable systems using phytoliths. ,https://doi.org/10.1007/s00334-016-0593-8,China,Neolithic to Bronze Age,Archaeological,,Table,N,Y,N,N,Research gate,Y,Y,Table of site and phase averages and graphs in the text.
Vegetation History and Archaeobotany,Archaeobotany,2017,Lancelotti et al.,Investigating fuel and fireplaces with a combination of phytoliths and multi-element analysis; an ethnographic experiment.,https://doi.org/10.1007/s00334-016-0574-y,India,,Methodological,T,Repository,Y,N,N,N,Research gate,N,Y,Multi-variate graphs and data in supplementary data and raw count and weights data in repository - git hub 
Vegetation History and Archaeobotany,Archaeobotany,2017,Portillo et al. ,Tracing microfossil residues of cereal processing in the archaeobotanical record: an experimental approach.,https://doi.org/10.1007/s00334-016-0571-1,,,Methodological,T,Table,N,Y,N,N,Semantic scholar,Y,Y,pdf was earlier pre-print that contained more data tables than found in paper - not complete raw data.
Vegetation History and Archaeobotany,Archaeobotany,2017,Garcia-Granero et al.,A methodological approach to the study of microbotanical remains from grinding stones: a case study in northern Gujarat (India). ,https://doi.org/10.1007/s00334-016-0557-z,India,7150-1900 BC,Archaeological,,.xlsx,Y,Y,N,N,Research gate,Y,Y,"Supp mat - extraction methods, raw data in excel."
Vegetation History and Archaeobotany,Archaeobotany,2017,Alonso-Eguiluz et al.,"The first herders in the upper Ebro basin at Los Husos II (Álava, Spain): microarchaeology applied to fumier deposits.",https://doi.org/10.1007/s00334-016-0590-y,Spain,6990-6770 BP,Archaeological,,Table,N,Y,N,N,N - had to request,Y,Y,"Table of phyto amounts per sample, % weathered % melted, table of abundance of morphotypes"
Vegetation History and Archaeobotany,Archaeobotany,2017,Musaubach and Beron,Food residues as indicators of processes plants in hunter-gatherers' pottery from La Pampa (Argentina).,https://doi.org/10.1007/s00334-016-0581-z,Argentina,4550-360BP,Archaeological,,Graph,N,Y,N,N,N - had to request,Y,N,Presence/ab table and graphs in text but no raw data.
Vegetation History and Archaeobotany,Archaeobotany,2016,Braadbaart et al.,Charred olive stones: experimental and archaeological evidence for recognizing olive processing residues used as fuel.,https://doi.org/10.1007/s00334-016-0562-2,Greece/Syria,,Archaeological,Methodological,N,N,Y,Y,N,N/A,Y,Y,Just pictures - no actual data given here.
Vegetation History and Archaeobotany,Archaeobotany,2016,Ma et al.,"New evidence for Neolithic rice cultivation and Holocene environmental change in Fuzhou Basin, southeast China.",https://doi.org/10.1007/s00334-016-0556-0,China,Neolithic ,Archaeological,,Graph,N,Y,N,N,Research gate,Y,N,Stratigraphic graphs and phyto pics but no raw data.
Vegetation History and Archaeobotany,Archaeobotany,2015,Bowdery,"An enigma revisited: identification of palm phytoliths extracted from the 1983 Rapa Nui, Rano Kao2 core.",https://doi.org/10.1007/s00334-014-0503-x,Chile,,Methodological,arch and palaeoenviro,.xlsx,Y,Y,N,N,N - had to request,N,N,Raw data from study is in excel file.
Vegetation History and Archaeobotany,Archaeobotany,2015,Garcia-Granero et al. ,A tale of multi-proxies:integrating macro- and microbotanical remains to understand subsistence strategies.,https://doi.org/10.1007/s00334-014-0486-7,India,Chalcolithic,Archaeological,,Table,N,Y,N,N,Research gate,Y,N,"Tables of raw data in the text, phyto densities, full methods not explained."
Vegetation History and Archaeobotany,Archaeobotany,2015,Peto et al.,Activity area analysis of a Roman period semi-subterranean building by means of integrated archaeobotanical and geoarchaeological data.,https://doi.org/10.1007/s00334-014-0491-x,Hungary,Roman,Archaeological,,.xlsx,Y,N,N,N,Research gate,Y,N,"Tables in the text and strat graphs, full raw data in supp mats. Full methods not given."
Vegetation History and Archaeobotany,Archaeobotany,2014,Kitagawa et al.,Human impact on the Kiso-hinoki cypress woodland in Japan: a history of exploitation and regeneration.,https://doi.org/10.1007/s00334-013-0423-1,Japan,17th century,Archaeological,,Table,N,N,N,N,N - had to request,N,N,Table of some phytolith data per gram from selected phytolith groups. No raw data counts/ not full data set.
Vegetation History and Archaeobotany,Archaeobotany,2013,Kistler et al.,Experimental investigation of pathogenic stress on phytolith formation in Curcurbita pepo var.texana (wild gourd).,https://doi.org/10.1007/s00334-012-0363-1,,,Methodological,T,Graph,N,N,N,N,Research gate,N,Y,No raw data just a graph.
Vegetation History and Archaeobotany,Archaeobotany,2009,Deckers et al.,Vegetation development and human occupation in the Damascus region of southwestern Syria from the Late Pleistocene to Holocene.,https://doi.org/10.1007/s00334-008-0209-z,Syria,Late Pleistocene,Archaeological,,Graph,N,N,N,N,Research gate,N,Y,Stratigraphic graphs for some morphotypes and weight %.
,,,,,,,,,,,,,,,,,,
Archaeological and Anthropological Sciences,Archaeological Science,2018,Zurro,"One, two, three phytoliths: assessing the minimum phytolith sum for archaeological studies.",https://doi.org/10.1007/s12520-017-0479-4,,,Methodological,T,Graph,N,N,N,N,Research gate,N,Y,"Supp data could not be opened as in a eps format, tables in the text have absolute count nos and no of morphs found."
Archaeological and Anthropological Sciences,Archaeological Science,2018,Deng et al.,The first discovery of Neolithic rice remains in eastern Taiwan: phytolith evidence from Chaolaigiao site.,https://doi.org/10.1007/s12520-017-0471-z,Taiwan,Neolithic,Archaeological,,Graph,N,Y,N,N,Research gate,N,N,"Stratigraphic graph in text and phyto pics, methods not given in full."
Archaeological and Anthropological Sciences,Archaeological Science,2018,Cummings et al.,"Plant microfossils in human dental calculus from Nemrik 9, a Pre-Pottery Neolithic site in Northern Iraq.",https://doi.org/10.1007/s12520-016-0411-3,Iraq,Neolithic,Archaeological,,Table,N,Y,Y,N,N/A,N,Y,"Table of raw data in the text, methods given in text."
Archaeological and Anthropological Sciences,Archaeological Science,2018,Ge et al.,Phytolith analysis for the identification of barnyard millet (Echinochloa sp.) and its implications.,https://doi.org/10.1007/s12520-016-0341-0,,,Methodological,M,Table,N,Y,N,N,Research gate,Y,Y,"Table of average and SD, multi-variate analysis plots, no raw data."
Archaeological and Anthropological Sciences,Archaeological Science,2017,Esteban et al.,"Neanderthal use of plant and past vegetation reconstruction at Middle Palaeolithic site of Abrigo de la Quebrada (Chelva, Valencia, Spain).",https://doi.org/10.1007/s12520-015-0279-7,Spain,Middle Palaeolithic,Archaeological,,Table,N,Y,N,N,Academia,Y,Y,"Table of phyto quantities, relative presence of morphotypes per sample, graphs for main groups of morphs, no raw data."
Archaeological and Anthropological Sciences,Archaeological Science,2017,Garcia-Granero et al.,"What is on the craftsmen's menu? Plant consumption at Datrana, a 5000-year-old lithic blade workshop in North Gujurat, India.",https://doi.org/10.1007/s12520-015-0281-0,India,Mesolithic,Archaeological,,Table,N,Y,N,N,Academia,Y,N,"ref to method of extraction, raw data tables in the text, pH data."
Archaeological and Anthropological Sciences,Archaeological Science,2016,Out & Madella,Morphometric distinction between bilobate phytoliths from Panicum miliaceum and Setaria italica leaves.,https://doi.org/10.1007/s12520-015-0235-6,,,Methodological,M,Table,N,Y,N,N,Research gate,N,Y,"data table contains mean, range and SD, sample size data"
Archaeological and Anthropological Sciences,Archaeological Science,2016,Weisskopf & Lee,Phytolith identification criteria for foxtail and broomcorn millets: a new approach to calculating crop ratios.,https://doi.org/10.1007/s12520-014-0190-7,China,,Methodological,T/MRP,Graph,N,Y,N,N,Research gate,Y,Y,Graph of millet percentages at different sites and information about identification criteria for millets.
Archaeological and Anthropological Sciences,Archaeological Science,2016,Madella et al.,Millet microremains-an alternative approach to understand cultivation and use of critical crops in Prehistory.,https://doi.org/10.1007/s12520-013-0130-y,,,Methodological,MRP,N,N,Y,N,N,N - had to request,Y,Y,"Pictures and schematic drawings of the different species, there are measurements in the text so this could have been put in a data file"
Archaeological and Anthropological Sciences,Archaeological Science,2015,Tsartsidou et al.,"Palaeoenvironmental reconstrution and flora exploitation at the palaeolithic cave of Theopetra, central Greece: the evidence from phytolith analysis.",https://doi.org/10.1007/s12520-014-0183-6,Greece,Palaeolithic,Palaeoenvironmental,,Graph,N,Y,N,N,Research gate,Y,Y,"Graphs of analysis, no raw data in graphs or tables, supp data of where samples taken from"
Archaeological and Anthropological Sciences,Archaeological Science,2015,Riehl et al.,Plant use and local vegetation patterns during the second half of the Late Pleistocene in southwestern Germany.,https://doi.org/10.1007/s12520-014-0182-7,Germany,Palaeolithic,Palaeoenvironmental,,N,N,N,N,N,Research gate,N,N,phyto data discussed in text as morphotypes present in different layers but no actual data given or graphs.
Archaeological and Anthropological Sciences,Archaeological Science,2014,Doosselaere et al.,"Looking through voids: a microanalysis of organic-derived porosity and bioclasts in archaeological ceramics from Koumbi Saleh (Mauritania, fifth / sixth – seventeenth century AD)",https://doi.org/10.1007/s12520-014-0176-5,Mauritania,5th-7th C AD,Archaeological,,Table,N,Y,N,N,Research gate,Y,Y,"Lots of photos, graphs and table of raw counts in the text."
Archaeological and Anthropological Sciences,Archaeological Science,2014,Friesem et al. ,"Where are the roofs? A geo-ethnographic study of mud brick structures and their collapse processes, focusing on the identification of roofs.",https://doi.org/10.1007/s12520-013-0146-3,Greece,,Methodological,T,Graph,N,Y,N,N,Research gate,Y,Y,"Some results in a table but no raw data, graphs of morphotypes"
Archaeological and Anthropological Sciences,Archaeological Science,2013,Dickau et al.,"A 4,000-year-old shaman's stone cache at Casita de Piedra, western Panama.",https://doi.org/10.1007/s12520-012-0112-5,Panama,4000 BP,Archaeological,,Graph,N,N,N,N,Research gate,N,N,"Graph of some morphotypes, no raw data. No methods given at all."
Archaeological and Anthropological Sciences,Archaeological Science,2013,Castineira et al.,The origin and construction of pre-Hispanic mounds in the Upper Delta of the Paraná River (Argentina). ,https://doi.org/10.1007/s12520-012-0107-2,Argentina,Pre-hispanic,Archaeological,,Graph,N,Y,N,N,Research gate,N,Y,Stratigraphic graphs and some pics of sections with phytos.
Archaeological and Anthropological Sciences,Archaeological Science,2012,Sulas & Madella,Archaeology at the micro-scale: micromorphology and phytoliths at a Swahili stonetown.,https://doi.org/10.1007/s12520-012-0090-7,Tanzania,14th-16th Century - historical,Archaeological,,Table,N,N,N,N,Research gate,Y,Y,"Tables of data but in textual form, not easy to extract, counts and %"
Archaeological and Anthropological Sciences,Archaeological Science,2012,Thomas et al.,"Analysis of a protohistoric net from Shahi Tump, Baluchistan (Pakistan)",https://doi.org/10.1007/s12520-011-0078-8,Pakistan,4th mill BCE,Archaeological,,Table,N,Y,N,N,Research gate,Y,Y,"Picture of palms, table of reference and arch palms."
Archaeological and Anthropological Sciences,Archaeological Science,2011,Stanley et al.,Phytolith assaying using a micro-scale electrokinetic sorting ring.,https://doi.org/10.1007/s12520-011-0072-1,,,Methodological,MD,Table,N,Y,N,N,N - had to request,N,Y,Table of counts in the text and analysis graphs in the text.
Archaeological and Anthropological Sciences,Archaeological Science,2011,Lema,Curcurbita maxima subspecies and subspecies andreana evolution under cultivation at the Argentinean Northwest: an archaeological example.,https://doi.org/10.1007/s12520-011-0057-0,Argentina,,Methodological,M,Table,N,Y,N,N,Research gate,N,Y,Table of measurement of phytoliths - morphometrics
Archaeological and Anthropological Sciences,Archaeological Science,2010,Tanaka et al.,Rice archaeological remains and the possibility of DNA archaeology: examples from Yoyoi and Heian periods of Northern Japan.,https://doi.org/10.1007/s12520-010-0036-x,Japan,2100-1100BP,Archaeological,,Table,N,N,N,N,N - had to request,N,Y,Table of counts per g for ecah sample of selected phytoliths.
Archaeological and Anthropological Sciences,Archaeological Science,2009,Goldberg et al.,"Bedding, hearth, and site maintenance in the Middle Stone Age of Sibudu Cave, KwaZulu-Natal, South Africa.",https://doi.org/10.1007/s12520-009-0008-1,South Africa,Middle Stone Age,Archaeological,,Table,N,N,Y,N,N/A,N,Y,Descriptions of micromorphology in the text that includes phytolith descriptions - no raw counts.
,,,,,,,,,,,,,,,,,,
Environmental Archaeology,Archaeological Science,2018,Borderie et al.,Early Middle Ages Houses of Gien (France) from the inside: Geoarchaeology and Archaeobotany of 9th-11th c. Floors.,https://doi.org/10.1080/14614103.2018.1534716,France,Middle Ages (8th to 10th C. AD),Archaeological,,Graph,N,Y,N,N,N - had to request,N,Y,1 graph of phytolith counts and then tables with descriptions of phytoliths in micromorphs
Environmental Archaeology,Archaeological Science,2018,Garcia-Suarez et al.,"Early Animal Management strategies during the Neolithic of the Konya Plain, Central Anatolia: integrating micromorphological and microfossil evidence.",https://doi.org/10.1080/14614103.2018.1497831,Turkey,Neolithic,Archaeological,,Graph,N,Y,N,N,N - had to request,Y,Y,"phyto per 1g, % weathered, relative abundances of morp categories graph, some photos, no raw data counts"
Environmental Archaeology,Archaeological Science,2018,Vrydaghs & Devos,"Visibility, preservation and colour: a descriptive system for the study of opal phytoliths in (archaeological) soil and sediment thin sediment thin sections.",https://doi.org/10.1080/14614103.2018.1501867,,,Methodological,T,N,N,Y,N,N,N - had to request,N,Y,"Pictures of method, no raw data in study."
Environmental Archaeology,Archaeological Science,2018,Dalton & Ryan,"Variable ovicaprid diet and faecal spherulite production at Amara West, Sudan.",https://doi.org/10.1080/14614103.2018.1501852,Sudan,1300BC,Archaeological,,Table,N,Y,N,N,Research gate,N,Y,"Relative quantities % of single and multicell phytos, graphs of analysis of phyto groups"
Environmental Archaeology,Archaeological Science,2017,Jenkins et al. ,"Ethno-geochemical and phytolith studies of activity related patterns: a case study from Al Ma'tan, Jordan. ",https://doi.org/10.1080/14614103.2017.1362787,Jordan,,Methodological,T,Table,N,Y,Y,N,N/A,Y,Y,Table of dicot phyto percentages and data analysis graphs PCA plots
Environmental Archaeology,Archaeological Science,2017,Matarazzo et al. ,Micro-morphological study of Concotto surfaces protected by Avellino Eruption in 3945+10 cal. BP at Early Bronze Age of Agragola Village in Southern Italy.,https://doi.org/10.1080/14614103.2017.1353658,Italy,Bronze Age,Archaeological,,Table,N,N,N,N,Research gate,N,Y,Table of percentage phyto included in micromorphs
Environmental Archaeology,Archaeological Science,2017,Zurro et al,An ethnoarchaeological study on anthropic markers form a shell-midden in Tierra del Fuego (Southern Argentina): Lanashuaia II.,https://doi.org/10.1080/14614103.2017.1299961,Argentina,1365 BP,Archaeological,,Graph,N,N,N,N,Research gate,N,Y,Area presence graphs
Environmental Archaeology,Archaeological Science,2017,Kanthilatha et al.,Implications of phytolith and diatom assemblages in the cultural layers of prehistoric archaeological sites of Ban Non Wat and Nong Hua Raet in Northeast Thailand.,https://doi.org/10.1179/1749631415Y.0000000026,Thailand,Prehistoric,Archaeological,,Graph,N,Y,N,N,Academia,Y,N,Stratigraphic graphs
Environmental Archaeology,Archaeological Science,2016,Blas et al.,The utility of livestock dung for reconstructing recent ethnological and environmental histories.,https://doi.org/10.1080/14614103.2016.1142630,Spain,,Archaeological,,.csv,N,Y,N,N,Research gate,N,N,data in csv file and table only percentages of groups of morphotypes not raw counts.
Environmental Archaeology,Archaeological Science,2014,Balbo et al.,A microarchaeological approach for the study of pits.,https://doi.org/10.1179/1749631414Y.0000000044,India/Spain,Holocene,Archaeological,,.csv,Y,Y,N,N,Research gate,Y,Y,csv file has table of results for morphotypes conc per gram sample
Environmental Archaeology,Archaeological Science,2015,Elliot et al.,"Preliminary ethnoarchaeological research on modern animal husbandry in Betansur, Iraqi Kurdistan: integrating animal, plant and environmental data.",https://doi.org/10.1179/1749631414Y.0000000025,Iraq,,Methodological,T,Table,N,Y,Y,N,N/A,N,Y,no raw counts but general groups per dung sample
Environmental Archaeology,Archaeological Science,2015,Salavert et al.,"First results of archaeobotanical analysis from Neolithic layers of Buran Kaya IV (Crimea, Ukraine).",https://doi.org/10.1179/1749631413Y.0000000016,Ukraine,Neolithic,Archaeological,,Graph,N,N,N,N,Research gate,Y,N,graph is relative abundance per layer of different morphs
Environmental Archaeology,Archaeological Science,2013,Marinova et al. ,"Animal dung from arid environments and archaeobotanical methodologies for its analysis: An example from animals burials of the Predynastic elite cemetery HK6 at Hierakonpolis, Egypt.",https://doi.org/10.1179/1461410313Z.00000000020,Egypt,Predynastic period,Archaeological,,.csv,N,Y,N,N,Research gate,N,Y,"Graph of relative abundance of multicell phytos per sample, table of percentage vales for single cells and multi cells per sample. CSV is not the raw data."
Environmental Archaeology,Archaeological Science,2010,Korstanje & Cuenya,Ancient agriculture and domestic activities: a contextual approach studying silica phytoliths and other microfossils in soils.,https://doi.org/10.1179/146141010X12640787648739,Argentina,800 AD,Archaeological,,Graph,N,Y,N,N,N - had to request,Y,Y,"Table of phytolith densities, graphs of phytoliths as a whole group in strat graphs."
,,,,,,,,,,,,,,,,,,
The Holocene,Archaeological Science,2018,Liu et al. ,"Phytolith-inferred transfer function for paleohydrological reconstruction of Dajiuhu peatland, central China.",https://doi.org/10.1177%2F0959683618782590,China,,Palaeoenvironmental,,Graph,N,Y,N,N,N - had to request,N,Y,Percentage graph of phytoliths from peatland surface soils. No raw data table given.
The Holocene,Archaeological Science,2018,Pillai et al,Multi-proxy evidence for an arid shift in the climate and vegetation of the Banni grasslands of western India during the mid- to late- Holocene.,https://doi.org/10.1177%2F0959683618761540,India,mid to late holocene,Palaeoenvironmental,,.xlsx,N,Y,N,N,Research gate,N,Y,supp material is total grass phytolith count not raw data
The Holocene,Archaeological Science,2018,Marsh et al.,"Mid- to late-Holocene archaeology, environment and climate in the northeast Kurdistan region of Iraq.",https://doi.org/10.1177%2F0959683617752843,Iraq,mid to late Holocene,Archaeological,,.xlsx,N,N,N,N,Research gate,N,Y,Supplementary data file - Excel file of data per gram of sediment - not raw counts
The Holocene,Archaeological Science,2017,Li et al.,Holocene Artemisia-Chenopodiaceae-dominated grassland in North China - real or imaginary?,https://doi.org/10.1177%2F0959683617744268,China,,Palaeoenvironmental,,Graph,N,Y,N,N,N - had to request,Y,Y,"Supplementary data is word file - no raw data, data about where samples taken and phyto pics - graph of phytolith frequencies in text"
The Holocene,Archaeological Science,2018,Wang et al.,"Temporal changes of mixed millet and rice agriculture in Neolithic-Bronze Age Central Plain, China: Archaeobotanical evidence from the Zhuzhai site",https://doi.org/10.1177%2F0959683617744269,China,Neolithic,Archaeological,,Table,N,Y,N,N,Research gate,N,Y,"Supplementary data files are power points with pictures of measurements of phyto id, some counts but mostly moprhometric measurements for millets and rice phytos"
The Holocene,Archaeological Science,2018,Norstrom et al.,Vegetation dynamics within the savanna biome in southern Mozambique during the late Holocene.,https://doi.org/10.1177%2F0959683617721327,Mozambique,Late Holocene,Palaeoenvironmental,,Graph,N,N,N,N,N - had to request,Y,N,Graphs in the text of phytolith data %. No supplementary raw data or method.
The Holocene,Archaeological Science,2018,Deng et al.,The ancient dispersal of millets in southern China: New archaeobotanical evidence.,https://doi.org/10.1177%2F0959683617714603,China,Neolithic,Archaeological,,Graph,N,Y,Y,N,N/A,N,Y,"No supplementary data - graphs, no raw count data"
The Holocene,Archaeological Science,2017,Braadbaart et al.,Fuel remains in archaeological contexts: experimental and archaeological evidence for recognising remains in hearths used by Iron Age farmers who lived in peatlands.,https://doi.org/10.1177%2F0959683617702231,Netherlands,Iron Age,Archaeological,,Table,N,Y,Y,N,N/A,N,Y,"Table in text with some info about silica amount, no raw count data"
The Holocene,Archaeological Science,2017,Henry et al.,Blame it on the goats? Desertification in the Near East during the Holocene.,https://doi.org/10.1177%2F0959683616670470,Jordan,Holocene,Palaeoenvironmental,,Graph,N,N,Y,N,N/A,N,N,Strat graph of amount of phytos and other botanical data
The Holocene,Archaeological Science,2017,Woodburn et al.,"Vegetation dynamics during the Pleistocene-Holocene transition in the central Great Plains, USA.",https://doi.org/10.1177%2F0959683616652710,United States,Holocene,Palaeoenvironmental,,Graph,N,N,N,N,Research gate,N,Y,Strat graphs
The Holocene,Archaeological Science,2016,Jin et al.,"Archaeobotanical records of Middle and Late Neolithic agriculture from Shangdong Province, East China, and a major change in regional subsistence during the Dawenkou Culture.",https://doi.org/10.1177%2F0959683616641746,China,Neolithic,Archaeological,,Table,N,N,N,N,Research gate,N,N,Table with counts from selected morphotypes - rice and millets
The Holocene,Archaeological Science,2016,Pearsall et al.,Human-environment interactions during the early mid-Holocene in coastal Ecuador as revealed by mangrove coring in Santa Elena Province.,https://doi.org/10.1177%2F0959683616638421,Ecuador,3200 - 500 BC,Archaeological,,Graph,N,N,N,N,Academia,N,Y,"Supplementary data is strat graphs, no raw data tables"
The Holocene,Archaeological Science,2016,Daura et al.,Palaeoenvironmental record of the Cal Maurici wetland sediment archive in Barcelona (NE Iberian Peninsula) between C. 6000 and 4000 cal. Yr BP,https://doi.org/10.1177%2F0959683616632891,Spain,6000-4000BP,Palaeoenvironmental,,Table,N,Y,N,N,Academia,Y,Y,"Limited data in table of % of types of phyto groups and only a few pictures, no raw data"
The Holocene,Archaeological Science,2016,Cochrane et al. ,Lack of suitable coastal plains likely influenced Lapita (-2800 cal. BP settlement of Samoa: evidence from south-eastern Upolu.,https://doi.org/10.1177%2F0959683615596841,Samoa,2800 BP,Archaeological,,Graph,N,N,N,N,Research gate,N,N,Very limited data in the graph - no raw data table
The Holocene,Archaeological Science,2015,Liu et al. ,"Plant domestication, cultivation and foraging by the first farmers in the early Neolithic Northeast China: Evidence from microbotanical remains.",https://doi.org/10.1177%2F0959683615596830,China,Neolithic,Archaeological,,Table,N,Y,N,N,Research gate,N,Y,"Extracted from grinding tools, dental calculus, table of phyto counts"
The Holocene,Archaeological Science,2015,Piperno et al.,Amazonia and the Anthropocene: what was the spatial extent and intensity of human landscape modification in the Amazon Basin at the end of prehistory?,https://doi.org/10.1177%2F0959683615588374,Bolivia,,Archaeological,,Table,N,N,N,N,Research gate,N,N,"Table of phytolith frequencies for certain categories, no raw data"
The Holocene,Archaeological Science,2015,Ramsey et al.,"Modifying the marsh: evaluating early epipalaeolithic hunter-gatherer impacts in the Azraq wetland, Jordan.",https://doi.org/10.1177%2F0959683615594240,Jordan,Epipalaeolithic,Archaeological,,Graph,N,N,N,N,Research gate,N,Y,Graph of selected morphotypes and strat graphs of some morphotypes
The Holocene,Archaeological Science,2015,Laparidou and Rosen,Intensification of production in Medieval Islamic Jordan and its ecological impact: towns of the anthropocene.,https://doi.org/10.1177%2F0959683615594470,Jordan,Medieval,Archaeological,,Graph,N,N,N,N,Research gate,N,N,"Graphs of selected morphotypes, crop processing analysis"
The Holocene,Archaeological Science,2015,Carson et al.,Pre-colombian land use in the ring-ditch region of the Bolivian Amazon,https://doi.org/10.1177%2F0959683615581204,Bolivia,pre-AD 1492,Archaeological,,Graph,N,N,N,N,Research gate,N,Y,Stratigraphic graphs with some morphotypes
The Holocene,Archaeological Science,2014,Liu et al. ,"A broad-spectrum subsistence economy in Neolithic Inner Mongolia, China: evidence from grinding stones.",https://doi.org/10.1177%2F0959683614526938,China,Neolithic,Archaeological,,Table,N,N,N,N,Research gate,N,N,"Table of counts from phytoliths and starch, use wear of grinding stones. Some detail of extraction method but not full details."
The Holocene,Archaeological Science,2014,Long et al.,"Rising waters; new geoarchaeological evidence of inundation and early agriculture from former settlement sites on the southern Yangtze delta, China.",https://doi.org/10.1177%2F0959683614522309,China,7200-5700BP,Archaeological,,Graph,N,N,N,N,Research gate,N,N,"Supplementary words files are sampling info, dating framework and method info. Not full phyto method given. No raw data"
The Holocene,Archaeological Science,2014,Whitney et al.,Pre-Colombian raised-field agriculture and land use in the Bolivian Amazon.,https://doi.org/10.1177%2F0959683613517401,Bolivia,310 to 1450 AD,Archaeological,,Graph,N,N,N,N,Research gate,N,Y,Strat graphs but no tables of raw counts
The Holocene,Archaeological Science,2013,Ledru et al.,Evidence of moist niches in the Bolivian Andes during the mid-Holocene arid period.,https://doi.org/10.1177%2F0959683613496288,Bolivia,Holocene,Archaeological,,Graph,N,Y,N,N,Research gate,N,Y,Strat graph of some morphotypes
